week_start,day_of_week,member_casual,total_rides,avg_ride_length
2024-02-04,Sunday,casual,1168,21.56
2024-02-04,Sunday,member,3362,14.09
2024-02-04,Monday,casual,821,12.9
2024-02-04,Monday,member,4931,10.91
2024-02-04,Tuesday,casual,1056,11.76
2024-02-04,Tuesday,member,6100,11.16
2024-02-04,Wednesday,casual,1186,12.53
2024-02-04,Wednesday,member,6421,11.47
2024-02-04,Thursday,casual,1595,16.07
2024-02-04,Thursday,member,6617,11.92
2024-02-04,Friday,casual,2317,18.17
2024-02-04,Friday,member,6473,12.1
2024-02-04,Saturday,casual,1759,19.94
2024-02-04,Saturday,member,3937,12.4
2024-02-11,Sunday,casual,1432,14.45
2024-02-11,Sunday,member,3647,11.57
2024-02-11,Monday,casual,1044,19.76
2024-02-11,Monday,member,5371,12.03
2024-02-11,Tuesday,casual,1146,12.97
2024-02-11,Tuesday,member,6104,11.23
2024-02-11,Wednesday,casual,1436,14.04
2024-02-11,Wednesday,member,6530,11.26
2024-02-11,Thursday,casual,1158,12.36
2024-02-11,Thursday,member,5848,10.84
2024-02-11,Friday,casual,959,12.29
2024-02-11,Friday,member,4431,10.52
2024-02-11,Saturday,casual,726,16.5
2024-02-11,Saturday,member,2506,10.98
2024-02-18,Sunday,casual,1308,21.58
2024-02-18,Sunday,member,3344,12.8
2024-02-18,Monday,casual,1324,18.45
2024-02-18,Monday,member,5036,11.26
2024-02-18,Tuesday,casual,1751,18.58
2024-02-18,Tuesday,member,7494,11.83
2024-02-18,Wednesday,casual,2412,17.2
2024-02-18,Wednesday,member,8751,12.39
2024-02-18,Thursday,casual,1963,15.74
2024-02-18,Thursday,member,7437,11.96
2024-02-18,Friday,casual,1387,16.09
2024-02-18,Friday,member,5173,10.98
2024-02-18,Saturday,casual,862,16.58
2024-02-18,Saturday,member,2924,11.53
2024-02-25,Sunday,casual,2572,23.57
2024-02-25,Sunday,member,5168,13.98
2024-02-25,Monday,casual,2717,22.35
2024-02-25,Monday,member,8310,12.6
2024-02-25,Tuesday,casual,3035,22.45
2024-02-25,Tuesday,member,9168,12.98
2024-02-25,Wednesday,casual,940,13.62
2024-02-25,Wednesday,member,5013,10.22
2024-02-25,Thursday,casual,1352,13.32
2024-02-25,Thursday,member,6397,10.88
2024-02-25,Friday,casual,1590,16.43
2024-02-25,Friday,member,6024,10.85
2024-02-25,Saturday,casual,4239,23.04
2024-02-25,Saturday,member,6831,13.91
2024-03-03,Sunday,casual,5803,28.24
2024-03-03,Sunday,member,7394,14.87
2024-03-03,Monday,casual,2996,18.69
2024-03-03,Monday,member,8795,12.53
2024-03-03,Tuesday,casual,1290,13.48
2024-03-03,Tuesday,member,6162,10.9
2024-03-03,Wednesday,casual,1714,13.58
2024-03-03,Wednesday,member,7325,11.11
2024-03-03,Thursday,casual,1868,13.56
2024-03-03,Thursday,member,7545,10.97
2024-03-03,Friday,casual,610,13.26
2024-03-03,Friday,member,2602,10.07
2024-03-03,Saturday,casual,2644,19.87
2024-03-03,Saturday,member,5285,11.95
2024-03-10,Sunday,casual,2094,20.42
2024-03-10,Sunday,member,4355,11.8
2024-03-10,Monday,casual,3257,20.53
2024-03-10,Monday,member,8577,12.55
2024-03-10,Tuesday,casual,4018,20.4
2024-03-10,Tuesday,member,10636,12.79
2024-03-10,Wednesday,casual,3154,16.83
2024-03-10,Wednesday,member,9291,11.75
2024-03-10,Thursday,casual,1663,17.95
2024-03-10,Thursday,member,5300,11.05
2024-03-10,Friday,casual,2906,17.9
2024-03-10,Friday,member,6948,11.31
2024-03-10,Saturday,casual,5728,21.8
2024-03-10,Saturday,member,6856,13.21
2024-03-17,Sunday,casual,1775,17.59
2024-03-17,Sunday,member,3856,11.58
2024-03-17,Monday,casual,1305,14.69
2024-03-17,Monday,member,5727,9.9
2024-03-17,Tuesday,casual,2219,15.37
2024-03-17,Tuesday,member,8355,11.4
2024-03-17,Wednesday,casual,1592,12.48
