week_start,day_of_week,member_casual,total_rides,avg_ride_length
2024-02-04,Sunday,casual,1229,22.83
2024-02-04,Sunday,member,3455,14.53
2024-02-04,Monday,casual,843,18.31
2024-02-04,Monday,member,4978,12.23
2024-02-04,Tuesday,casual,1073,13.46
2024-02-04,Tuesday,member,6168,12.09
2024-02-04,Wednesday,casual,1211,14.91
2024-02-04,Wednesday,member,6497,13.23
2024-02-04,Thursday,casual,1637,17.44
2024-02-04,Thursday,member,6703,12.4
2024-02-04,Friday,casual,2393,20.86
2024-02-04,Friday,member,6576,12.39
2024-02-04,Saturday,casual,1813,20.01
2024-02-04,Saturday,member,4047,13.06
2024-02-11,Sunday,casual,1477,15.84
2024-02-11,Sunday,member,3719,12.05
2024-02-11,Monday,casual,1065,19.89
2024-02-11,Monday,member,5430,12.36
2024-02-11,Tuesday,casual,1162,12.93
2024-02-11,Tuesday,member,6155,12.02
2024-02-11,Wednesday,casual,1464,14.08
2024-02-11,Wednesday,member,6590,11.36
2024-02-11,Thursday,casual,1192,13.84
2024-02-11,Thursday,member,5910,11.16
2024-02-11,Friday,casual,982,12.03
2024-02-11,Friday,member,4476,11.32
2024-02-11,Saturday,casual,750,16.75
2024-02-11,Saturday,member,2566,11.47
2024-02-18,Sunday,casual,1363,23.5
2024-02-18,Sunday,member,3422,13.91
2024-02-18,Monday,casual,1386,20.57
2024-02-18,Monday,member,5097,11.8
2024-02-18,Tuesday,casual,1788,20.93
2024-02-18,Tuesday,member,7580,12.14
2024-02-18,Wednesday,casual,2452,17.82
2024-02-18,Wednesday,member,8862,12.9
2024-02-18,Thursday,casual,2010,15.57
2024-02-18,Thursday,member,7521,12.06
2024-02-18,Friday,casual,1440,16.35
2024-02-18,Friday,member,5240,11.77
2024-02-18,Saturday,casual,908,19.24
2024-02-18,Saturday,member,2976,11.71
2024-02-25,Sunday,casual,2682,25.42
2024-02-25,Sunday,member,5282,14.43
2024-02-25,Monday,casual,2776,23.86
2024-02-25,Monday,member,8418,12.94
2024-02-25,Tuesday,casual,3155,24.8
2024-02-25,Tuesday,member,9296,13.85
2024-02-25,Wednesday,casual,956,15.11
2024-02-25,Wednesday,member,5070,11.64
2024-02-25,Thursday,casual,1369,14.38
2024-02-25,Thursday,member,6466,11.17
2024-02-25,Friday,casual,1630,17
2024-02-25,Friday,member,6116,11.57
2024-02-25,Saturday,casual,4478,25.54
2024-02-25,Saturday,member,7039,14.49
2024-03-03,Sunday,casual,6149,30.71
2024-03-03,Sunday,member,7594,15.48
2024-03-03,Monday,casual,3102,20.36
2024-03-03,Monday,member,8878,12.54
2024-03-03,Tuesday,casual,1317,13.99
2024-03-03,Tuesday,member,6217,11.24
2024-03-03,Wednesday,casual,1760,14.92
2024-03-03,Wednesday,member,7408,11.33
2024-03-03,Thursday,casual,1927,14.69
2024-03-03,Thursday,member,7612,11.24
2024-03-03,Friday,casual,621,14.16
2024-03-03,Friday,member,2632,10.27
2024-03-03,Saturday,casual,2768,22.34
2024-03-03,Saturday,member,5419,12.29
2024-03-10,Sunday,casual,2187,22.35
2024-03-10,Sunday,member,4440,12.3
2024-03-10,Monday,casual,3344,21.77
2024-03-10,Monday,member,8638,12.81
2024-03-10,Tuesday,casual,4120,21.74
2024-03-10,Tuesday,member,10735,13.12
2024-03-10,Wednesday,casual,3260,18.14
2024-03-10,Wednesday,member,9399,12.08
2024-03-10,Thursday,casual,1705,16.67
2024-03-10,Thursday,member,5376,11.16
2024-03-10,Friday,casual,3006,20.27
2024-03-10,Friday,member,7033,11.85
2024-03-10,Saturday,casual,5949,23.14
2024-03-10,Saturday,member,7034,13.36
2024-03-17,Sunday,casual,1875,19.31
2024-03-17,Sunday,member,3935,12.04
2024-03-17,Monday,casual,1318,14.67
2024-03-17,Monday,member,5777,10.43
2024-03-17,Tuesday,casual,2251,16.22
2024-03-17,Tuesday,member,8428,11.58
2024-03-17,Wednesday,casual,1623,12.45
2024-03-17,Wednesday,member,7221,10.73
2024-03-17,Thursday,casual,1709,12.26
2024-03-17,Thursday,member,6980,10.67
2024-03-17,Friday,casual,890,13.5
2024-03-17,Friday,member,3780,10.56
2024-03-17,Saturday,casual,2063,18.55
2024-03-17,Saturday,member,4705,11.98
2024-03-24,Sunday,casual,1997,20.88
2024-03-24,Sunday,member,4513,11.81
2024-03-24,Monday,casual,2020,19.72
2024-03-24,Monday,member,7125,11.29
2024-03-24,Tuesday,casual,1645,15.81
2024-03-24,Tuesday,member,6823,10.5
2024-03-24,Wednesday,casual,1876,16.59
2024-03-24,Wednesday,member,7133,10.51
2024-03-24,Thursday,casual,2857,18.72
2024-03-24,Thursday,member,8206,11.72
2024-03-24,Friday,casual,3012,21.86
2024-03-24,Friday,member,6742,11.31
2024-03-24,Saturday,casual,3658,24.22
2024-03-24,Saturday,member,6128,13.79
2024-03-31,Sunday,casual,1886,20.77
2024-03-31,Sunday,member,3687,12.01
2024-03-31,Monday,casual,1070,13.08
2024-03-31,Monday,member,4792,10.52
2024-03-31,Tuesday,casual,1153,12.24
2024-03-31,Tuesday,member,5773,10.3
2024-03-31,Wednesday,casual,636,14.16
2024-03-31,Wednesday,member,3727,10.03
2024-03-31,Thursday,casual,1332,11.43
2024-03-31,Thursday,member,6475,10.71
2024-03-31,Friday,casual,2601,17.32
2024-03-31,Friday,member,7172,11.23
2024-03-31,Saturday,casual,4910,23.01
2024-03-31,Saturday,member,7178,12.87
2024-04-07,Sunday,casual,1285,21.39
2024-04-07,Sunday,member,2996,11.01
2024-04-07,Monday,casual,4924,24.83
2024-04-07,Monday,member,10703,12.92
2024-04-07,Tuesday,casual,4122,21.66
2024-04-07,Tuesday,member,11356,12.69
2024-04-07,Wednesday,casual,4026,19.92
2024-04-07,Wednesday,member,11050,12.39
2024-04-07,Thursday,casual,2359,15.55
2024-04-07,Thursday,member,7910,12.02
2024-04-07,Friday,casual,3633,19.86
2024-04-07,Friday,member,8283,11.98
2024-04-07,Saturday,casual,9736,28.29
2024-04-07,Saturday,member,10320,15.29
2024-04-14,Sunday,casual,11945,30.5
2024-04-14,Sunday,member,11120,16.46
2024-04-14,Monday,casual,4875,22.43
2024-04-14,Monday,member,11409,12.94
2024-04-14,Tuesday,casual,3212,18.03
2024-04-14,Tuesday,member,9911,12.44
2024-04-14,Wednesday,casual,3396,18.21
2024-04-14,Wednesday,member,10431,12.01
2024-04-14,Thursday,casual,2876,17.9
2024-04-14,Thursday,member,9429,11.56
2024-04-14,Friday,casual,4577,19.34
2024-04-14,Friday,member,9599,11.61
2024-04-14,Saturday,casual,4130,19.58
2024-04-14,Saturday,member,6896,12.46
2024-04-21,Sunday,casual,5209,26.32
2024-04-21,Sunday,member,7262,13.67
2024-04-21,Monday,casual,3929,22.15
2024-04-21,Monday,member,10280,12.21
2024-04-21,Tuesday,casual,3606,15.66
2024-04-21,Tuesday,member,11005,11.98
2024-04-21,Wednesday,casual,2502,16.99
2024-04-21,Wednesday,member,8906,10.87
2024-04-21,Thursday,casual,3751,16.67
2024-04-21,Thursday,member,10628,11.72
2024-04-21,Friday,casual,2521,18.78
2024-04-21,Friday,member,6677,11.13
2024-04-21,Saturday,casual,10341,27.31
2024-04-21,Saturday,member,11016,15.62
2024-04-28,Sunday,casual,5446,25.76
2024-04-28,Sunday,member,7721,13.92
2024-04-28,Monday,casual,3961,21.46
2024-04-28,Monday,member,9193,12.13
2024-04-28,Tuesday,casual,6025,23.16
2024-04-28,Tuesday,member,13248,14.1
2024-04-28,Wednesday,casual,6024,23.94
2024-04-28,Wednesday,member,13586,13.9
2024-04-28,Thursday,casual,4006,20.3
2024-04-28,Thursday,member,10773,12.72
2024-04-28,Friday,casual,5948,23.57
2024-04-28,Friday,member,10679,12.5
2024-04-28,Saturday,casual,10546,29.09
2024-04-28,Saturday,member,11122,15.84
2024-05-05,Sunday,casual,7013,26.32
2024-05-05,Sunday,member,8501,13.93
2024-05-05,Monday,casual,5337,23.09
2024-05-05,Monday,member,11580,12.57
2024-05-05,Tuesday,casual,3813,16.93
2024-05-05,Tuesday,member,10162,12.6
2024-05-05,Wednesday,casual,6664,22.22
2024-05-05,Wednesday,member,13849,13.51
2024-05-05,Thursday,casual,2214,15.94
2024-05-05,Thursday,member,6056,11.37
2024-05-05,Friday,casual,6526,21.72
2024-05-05,Friday,member,11348,13.07
2024-05-05,Saturday,casual,8877,27.2
2024-05-05,Saturday,member,10440,14.8
2024-05-12,Sunday,casual,9726,31.62
2024-05-12,Sunday,member,10222,16.46
2024-05-12,Monday,casual,3986,21.83
2024-05-12,Monday,member,9598,12.12
2024-05-12,Tuesday,casual,3282,16.51
2024-05-12,Tuesday,member,10221,11.85
2024-05-12,Wednesday,casual,5279,19.53
2024-05-12,Wednesday,member,12793,12.82
2024-05-12,Thursday,casual,6203,19.95
2024-05-12,Thursday,member,13113,12.94
2024-05-12,Friday,casual,8671,24.83
2024-05-12,Friday,member,13206,13.64
2024-05-12,Saturday,casual,14323,28.11
2024-05-12,Saturday,member,13445,16.29
2024-05-19,Sunday,casual,11319,28.85
2024-05-19,Sunday,member,11631,15.88
2024-05-19,Monday,casual,5763,24.34
2024-05-19,Monday,member,11131,13.59
2024-05-19,Tuesday,casual,7352,21.66
2024-05-19,Tuesday,member,14049,13.93
2024-05-19,Wednesday,casual,7620,21.67
2024-05-19,Wednesday,member,14841,13.7
2024-05-19,Thursday,casual,8262,23.15
2024-05-19,Thursday,member,14647,13.44
2024-05-19,Friday,casual,6399,22.52
2024-05-19,Friday,member,10706,12.9
2024-05-19,Saturday,casual,13825,29.97
2024-05-19,Saturday,member,12116,16.26
2024-05-26,Sunday,casual,4490,24.22
2024-05-26,Sunday,member,5071,14.09
2024-05-26,Monday,casual,7747,29.71
2024-05-26,Monday,member,7976,14.78
2024-05-26,Tuesday,casual,4227,20.17
2024-05-26,Tuesday,member,10149,12.5
2024-05-26,Wednesday,casual,6052,22.16
2024-05-26,Wednesday,member,13557,13.07
2024-05-26,Thursday,casual,6476,21.46
2024-05-26,Thursday,member,13460,13.07
2024-05-26,Friday,casual,9736,23.56
2024-05-26,Friday,member,13862,14.02
2024-05-26,Saturday,casual,2935,19.18
2024-05-26,Saturday,member,4397,13.16
2024-06-02,Sunday,casual,11623,27.52
2024-06-02,Sunday,member,11571,16.04
2024-06-02,Monday,casual,7302,23.21
2024-06-02,Monday,member,12913,14.23
2024-06-02,Tuesday,casual,6745,20.5
2024-06-02,Tuesday,member,13612,13.41
2024-06-02,Wednesday,casual,8174,21.98
2024-06-02,Wednesday,member,14580,14.14
2024-06-02,Thursday,casual,7879,21.64
2024-06-02,Thursday,member,14552,13.71
2024-06-02,Friday,casual,9797,22.7
2024-06-02,Friday,member,13472,13.64
2024-06-02,Saturday,casual,9410,25.74
2024-06-02,Saturday,member,10126,14.46
2024-06-09,Sunday,casual,13564,27.94
2024-06-09,Sunday,member,12287,16.42
2024-06-09,Monday,casual,5788,22.39
2024-06-09,Monday,member,11591,12.67
2024-06-09,Tuesday,casual,6988,21.39
2024-06-09,Tuesday,member,13891,13.13
2024-06-09,Wednesday,casual,8552,21.48
2024-06-09,Wednesday,member,14713,13.88
2024-06-09,Thursday,casual,8544,21.49
2024-06-09,Thursday,member,13667,13.59
2024-06-09,Friday,casual,10567,24.42
2024-06-09,Friday,member,13938,14.2
2024-06-09,Saturday,casual,15426,27.07
2024-06-09,Saturday,member,13358,15.54
2024-06-16,Sunday,casual,11094,26.18
2024-06-16,Sunday,member,10375,15.85
2024-06-16,Monday,casual,7358,22.45
2024-06-16,Monday,member,12357,13.16
2024-06-16,Tuesday,casual,8348,20.93
2024-06-16,Tuesday,member,14312,13.33
2024-06-16,Wednesday,casual,11332,23.2
2024-06-16,Wednesday,member,14516,14.37
2024-06-16,Thursday,casual,7507,20.8
2024-06-16,Thursday,member,13362,12.99
2024-06-16,Friday,casual,11669,24.14
2024-06-16,Friday,member,14253,14.07
2024-06-16,Saturday,casual,14810,25.23
2024-06-16,Saturday,member,12501,15.46
2024-06-23,Sunday,casual,11836,27.62
2024-06-23,Sunday,member,11032,15.77
2024-06-23,Monday,casual,7981,24.5
2024-06-23,Monday,member,12746,13.31
2024-06-23,Tuesday,casual,6134,21.16
2024-06-23,Tuesday,member,11125,13.39
2024-06-23,Wednesday,casual,8581,22.9
2024-06-23,Wednesday,member,14719,13.97
2024-06-23,Thursday,casual,9059,22.55
2024-06-23,Thursday,member,15020,13.76
2024-06-23,Friday,casual,5047,19.6
2024-06-23,Friday,member,9018,12.37
2024-06-23,Saturday,casual,13990,27.88
2024-06-23,Saturday,member,12765,15.77
2024-06-30,Sunday,casual,12464,27.9
2024-06-30,Sunday,member,11105,16.1
2024-06-30,Monday,casual,7589,25.27
2024-06-30,Monday,member,12331,13.57
2024-06-30,Tuesday,casual,7767,22.8
2024-06-30,Tuesday,member,13595,13.59
2024-06-30,Wednesday,casual,9578,23.89
2024-06-30,Wednesday,member,13555,13.73
2024-06-30,Thursday,casual,12345,28.82
2024-06-30,Thursday,member,9425,16.12
2024-06-30,Friday,casual,13010,27.43
2024-06-30,Friday,member,11178,15.16
