season,member_casual,count,min,q1,median,q3,max
Winter,casual,169909,3,5.666666666666667,9,15,90
Winter,member,653630,3,5,8,13,90
Spring,casual,407261,3,7,13,24,90
Spring,member,816719,3,6,9,15,90
Summer,casual,849637,3,8.3,13.866666666666667,24.233333333333334,90
Summer,member,1171944,3,6.383333333333334,10.283333333333333,16.85,89.98333333333333
Fall,casual,592976,3,6.916666666666667,11.383333333333333,20.183333333333334,90
Fall,member,1009900,3,5.766666666666667,9.116666666666667,14.883333333333333,89.96666666666667
